_id;dialog;movie;character;id
5cd96e05de30eff6ebcce828;To the harbour, Bilbo. The elves have accorded you a special honour. A place on the last ship to leave Middle Earth.;5cd95395de30eff6ebccde5d;5cd99d4bde30eff6ebccfc15;5cd96e05de30eff6ebcce828
5cd96e05de30eff6ebcce829;Salted pork;5cd95395de30eff6ebccde5d;5cd99d4bde30eff6ebccfd23;5cd96e05de30eff6ebcce829
5cd96e05de30eff6ebcce82a;Hobbits!;5cd95395de30eff6ebccde5d;5cd99d4bde30eff6ebccfea0;5cd96e05de30eff6ebcce82a
5cd96e05de30eff6ebcce82b;We're under orders from Treebeard who's taken over management of Isengard.;5cd95395de30eff6ebccde5d;5cd99d4bde30eff6ebccfc7c;5cd96e05de30eff6ebcce82b
5cd96e05de30eff6ebcce82c;Tell me again lad, where are we going?;5cd95395de30eff6ebccde5d;5cd99d4bde30eff6ebccfc38;5cd96e05de30eff6ebcce82c
5cd96e05de30eff6ebcce82d;Frodo, any chance of seeing that old Ring of mine again? The one I gave you?;5cd95395de30eff6ebccde5d;5cd99d4bde30eff6ebccfc38;5cd96e05de30eff6ebcce82d
5cd96e05de30eff6ebcce82e;Hoooom, young master Gandalf, I'm glad you've come. Wood and water, stock and stone I can master, but there is a Wizard to manage here locked in his tower;5cd95395de30eff6ebccde5d;5cd9d533844dc4c55e47afed;5cd96e05de30eff6ebcce82e
5cd96e05de30eff6ebcce82f;We are sitting on a field of victory enjoying a few well earned comforts, The salted pork is particularly good.;5cd95395de30eff6ebccde5d;5cd99d4bde30eff6ebccfe2e;5cd96e05de30eff6ebcce82f
5cd96e05de30eff6ebcce830;Show yourself.;5cd95395de30eff6ebccde5d;5cd99d4bde30eff6ebccfbe6;5cd96e05de30eff6ebcce830
5cd96e05de30eff6ebcce831;Well then let's just have his head and be done with it.;5cd95395de30eff6ebccde5d;5cd99d4bde30eff6ebccfd23;5cd96e05de30eff6ebcce831
5cd96e05de30eff6ebcce832;Be careful. Even in defeat, Saruman is dangerous.;5cd95395de30eff6ebccde5d;5cd99d4bde30eff6ebccfea0;5cd96e05de30eff6ebcce832
5cd96e05de30eff6ebcce833;You have fought many wars and slain many men Theoden King and made peace afterwards. Can we not take counsel together as we once did, my old friend?Can we not have peace you and I?;5cd95395de30eff6ebccde5d;5cd99d4bde30eff6ebccfea4;5cd96e05de30eff6ebcce833
5cd96e05de30eff6ebcce834;We shall have peace'. We shall have peace when you answer for the burning of the Westfold and the children that lie dead there! We shall have peace when the lives of the soldiers whose bodies were hewn even as they lay dead against the gates of the Hornburg' are avenged! When you hang from a gibbet for the sport of your own crows' we shall have peace!;5cd95395de30eff6ebccde5d;5cd99d4bde30eff6ebccfe19;5cd96e05de30eff6ebcce834
5cd96e05de30eff6ebcce835;Gibbets and crows! Dotard! What do you want Gandalf Grahame? Let me guess' the key of Orthanc? Or perhaps the keys of Barad D'r itself? Along with the crowns of the seven Kings and the rods of the Five Wizards!;5cd95395de30eff6ebccde5d;5cd99d4bde30eff6ebccfea4;5cd96e05de30eff6ebcce835
5cd96e05de30eff6ebcce836;No, we need him alive. We need him to talk.;5cd95395de30eff6ebccde5d;5cd99d4bde30eff6ebccfea0;5cd96e05de30eff6ebcce836
5cd96e05de30eff6ebcce837;I'm sorry uncle. I'm afraid I lost it.;5cd95395de30eff6ebccde5d;5cd99d4bde30eff6ebccfc15;5cd96e05de30eff6ebcce837
5cd96e05de30eff6ebcce838;Your treachery has already cost many lives. Thousands more are now at risk. But you could save them Saruman. You were deep in the enemy's counsel.;5cd95395de30eff6ebccde5d;5cd99d4bde30eff6ebccfea0;5cd96e05de30eff6ebcce838
5cd96e05de30eff6ebcce839;I Aear c'n ven na mar.;5cd95395de30eff6ebccde5d;5cd99d4bde30eff6ebccfcc8;5cd96e05de30eff6ebcce839
5cd96e05de30eff6ebcce83a;I think I'm quite ready for another adventure.;5cd95395de30eff6ebccde5d;5cd99d4bde30eff6ebccfc38;5cd96e05de30eff6ebcce83a
5cd96e05de30eff6ebcce83b;Farewell my brave Hobbits. My work is now finished. Here at last, on the shores of the sea, comes the end of our Fellowship. I will not say do not weep for not all tears are an evil. It is time Frodo.;5cd95395de30eff6ebccde5d;5cd99d4bde30eff6ebccfea0;5cd96e05de30eff6ebcce83b
